['2', '3', '7', 'Q', 'A'] 396
['Q', '4', '5', '2', 'T'] 920
['Q', '5', '8', '9', 'K'] 962
['Q', '5', 'T', '8', '2'] 3
['Q', '7', '8', '9', 'A'] 957
['Q', 'K', '6', '3', '7'] 574
['Q', 'A', 'K', '4', '8'] 781
['K', '3', '2', '4', 'A'] 390
['K', '5', 'Q', '2', '6'] 4
['K', '5', 'Q', '4', 'T'] 130
['K', '5', 'A', '9', '6'] 508
['K', '8', '2', 'Q', '9'] 739
['K', '8', '5', 'A', '9'] 134
['K', '8', '7', 'T', '9'] 831
['K', 'T', '5', '6', 'A'] 532
['K', 'Q', '7', '8', 'T'] 200
['K', 'Q', '7', 'T', '2'] 394
['K', 'Q', 'A', '2', 'T'] 139
['K', 'A', '3', 'T', '7'] 498
['A', '2', '7', '5', '8'] 313
['A', '2', '9', '4', '7'] 685
['A', '3', '8', 'T', '4'] 524
['A', '3', 'Q', '6', 'K'] 879
['A', '4', '3', '5', '2'] 996
['A', '5', '6', 'T', '2'] 238
['A', '5', '6', 'T', '9'] 403
['A', '5', '8', '7', 'K'] 442
['A', '6', '7', 'Q', '2'] 426
['A', '7', '4', '8', 'K'] 868
['A', '8', '4', '3', '5'] 460
['A', '8', '9', '6', 'T'] 284
['A', 'Q', '4', '5', '6'] 949
['A', 'Q', '5', 'K', '3'] 645
['A', 'K', '3', 'Q', '9'] 562
['J', '2', 'K', 'Q', '8'] 893
['J', '3', '6', '5', 'A'] 941
['J', '3', '8', 'A', '6'] 362
['J', '5', '2', 'A', '8'] 66
['J', '5', '8', 'Q', '9'] 374
['J', '5', 'K', '2', '7'] 843
['J', '5', 'A', '2', 'Q'] 583
['J', '6', 'Q', 'T', '9'] 242
['J', '8', '3', '4', 'T'] 475
['J', '8', 'A', '3', '4'] 674
['J', '9', '3', '5', 'A'] 758
['J', 'T', '4', 'Q', '8'] 846
['J', 'Q', '2', 'K', '7'] 493
['J', 'Q', 'T', '3', '9'] 407
['J', 'K', '5', '6', 'T'] 535
['J', 'K', '7', 'T', '3'] 899
['J', 'K', 'A', '3', '7'] 795
['J', 'A', 'Q', 'K', '4'] 241
['2', '3', '6', '3', 'K'] 587
['2', '3', 'K', '9', '3'] 438
['2', '4', '2', '6', '3'] 593
['2', '5', '5', 'Q', '4'] 930
['2', '6', '2', '3', '7'] 737
['2', '6', '2', 'A', '8'] 676
['2', '7', '9', '8', 'J'] 980
['2', '8', 'J', '3', 'T'] 985
['2', '9', '2', '5', '3'] 317
['2', '9', '3', 'J', 'Q'] 999
['2', '9', 'Q', '8', '9'] 913
['2', 'K', '6', 'K', 'T'] 849
['2', 'A', '7', '8', 'A'] 631
['3', 'J', '2', '6', 'Q'] 684
['3', 'J', '9', '7', '5'] 800
['3', '2', '6', '4', '6'] 499
['3', '3', '4', '8', 'K'] 375
['3', '3', 'Q', 'K', '6'] 278
['3', '3', 'K', 'T', 'Q'] 469
['3', '4', 'J', '9', '2'] 888
['3', '4', '4', 'K', '5'] 822
['3', '4', '7', '7', 'A'] 388
['3', '4', '9', '8', '3'] 695
['3', '5', 'Q', 'K', '3'] 462
['3', '6', '7', '3', '4'] 230
['3', '6', '7', '4', 'J'] 797
['3', '6', 'T', 'J', '7'] 591
['3', '6', 'T', 'Q', 'J'] 323
['3', '8', '7', '7', 'Q'] 150
['3', '8', '8', 'Q', 'K'] 40
['3', '8', 'K', '3', 'Q'] 503
['3', '9', '3', '6', '8'] 840
['3', '9', '4', 'J', '6'] 976
['3', '9', '9', '4', '7'] 171
['3', 'Q', '6', '7', 'J'] 397
['3', 'Q', '7', 'Q', 'K'] 96
['3', 'Q', '8', 'K', 'Q'] 61
['3', 'Q', 'K', 'J', '9'] 319
['3', 'A', '4', 'J', '9'] 801
['3', 'A', '9', '9', '7'] 700
['4', 'J', 'T', '7', '5'] 143
['4', '2', '6', '4', '7'] 325
['4', '2', '7', '4', 'K'] 387
['4', '2', 'A', '6', 'J'] 882
['4', '4', '7', '8', '5'] 444
['4', '5', 'T', '2', '4'] 841
['4', '9', 'Q', 'J', '3'] 923
['4', 'T', '2', 'J', '3'] 589
['4', 'T', 'A', '4', 'Q'] 118
['4', 'Q', '9', 'Q', '3'] 544
['4', 'K', '2', '2', '8'] 698
['4', 'A', 'J', '8', '9'] 646
['4', 'A', '7', 'K', 'J'] 184
['4', 'A', '8', '4', '7'] 876
['5', 'J', '3', 'T', '6'] 884
['5', '2', '7', 'J', 'A'] 848
['5', '4', '7', '9', '5'] 575
['5', '7', '3', '7', 'K'] 36
['5', '8', 'Q', '5', 'T'] 871
['5', '9', 'Q', '5', '7'] 79
['5', '9', 'K', '5', 'A'] 641
['6', '2', '8', '4', 'J'] 492
['6', '3', '2', '6', '8'] 853
['6', '3', '5', 'K', '3'] 995
['6', '3', '8', 'J', 'T'] 752
['6', '4', 'K', 'T', 'J'] 421
['6', '5', 'J', '9', '8'] 714
['6', '7', '7', '4', 'Q'] 527
['6', '8', 'K', 'Q', '6'] 516
['6', '9', 'T', 'Q', '9'] 172
['6', 'Q', '9', 'T', 'T'] 179
['6', 'Q', 'A', 'J', 'K'] 369
['6', 'K', '6', '3', 'T'] 489
['6', 'K', 'Q', '6', '4'] 611
['6', 'A', '4', 'A', 'Q'] 805
['6', 'A', '9', '2', '2'] 366
['7', 'J', '2', 'Q', '3'] 87
['7', 'J', 'Q', '6', '4'] 634
['7', '2', '4', 'T', 'J'] 233
['7', '2', '5', 'A', 'A'] 706
['7', '2', '8', '8', '4'] 633
['7', '3', '7', '8', 'T'] 472
['7', '3', '9', '7', 'K'] 965
['7', '3', 'Q', 'J', 'T'] 855
['7', '3', 'A', '7', '5'] 725
['7', '5', 'A', '6', '6'] 63
['7', '7', '3', '6', 'Q'] 440
['7', '8', '7', '9', '6'] 550
['7', '9', '4', '8', '4'] 146
['7', 'Q', '6', '6', '2'] 756
['7', 'Q', '8', '5', '5'] 261
['7', 'Q', '8', '6', '8'] 144
['7', 'A', '8', 'J', '9'] 468
['7', 'A', 'K', '8', '8'] 361
['8', 'J', '7', '9', '3'] 543
['8', '2', '3', '8', '6'] 180
['8', '2', '9', 'J', '3'] 296
['8', '2', 'A', 'Q', 'A'] 857
['8', '4', '2', '5', '8'] 707
['8', '5', 'J', '6', 'T'] 919
['8', '6', 'J', '3', 'Q'] 763
['8', '7', 'J', 'A', 'K'] 335
['8', '7', '2', 'T', '8'] 519
['8', '7', '3', '5', '5'] 97
['8', '8', 'Q', '4', 'K'] 228
['8', '9', '7', 'A', '7'] 852
['8', 'T', 'K', '8', '3'] 115
['8', 'K', '9', '8', '3'] 557
['8', 'A', '9', '2', '8'] 847
['9', 'J', '4', '6', 'T'] 418
['9', 'J', '8', 'T', '5'] 35
['9', 'J', 'A', '5', '4'] 162
['9', '2', '3', 'Q', 'Q'] 414
['9', '2', 'T', '9', '8'] 486
['9', '3', 'A', '6', '6'] 65
['9', '4', '2', 'T', '9'] 818
['9', '5', 'A', '3', 'A'] 341
['9', '7', '5', 'J', '4'] 307
['9', '8', '5', 'J', '3'] 48
['9', '8', '7', 'T', 'T'] 5
['9', '8', 'T', '8', '7'] 161
['9', '8', 'A', '8', 'Q'] 540
['9', 'T', '2', '3', '3'] 517
['9', 'Q', 'J', 'A', '5'] 667
['9', 'Q', 'Q', '8', '2'] 770
['9', 'Q', 'Q', '8', 'K'] 286
['T', '8', '2', '5', '2'] 436
['T', '8', '8', '5', '7'] 505
['T', '8', 'Q', '3', 'T'] 423
['T', 'T', '5', 'Q', 'A'] 347
['T', 'T', '9', '7', '3'] 126
['T', 'K', '3', '8', 'J'] 293
['T', 'K', 'A', 'J', 'Q'] 210
['T', 'A', 'J', '4', '8'] 612
['T', 'A', '6', 'J', 'Q'] 931
['Q', '2', 'Q', '3', '4'] 127
['Q', '4', 'T', 'Q', 'K'] 867
['Q', '6', 'T', '9', '6'] 471
['Q', '7', '7', '5', '9'] 594
['Q', '7', '7', 'A', '9'] 246
['Q', '8', '4', 'K', 'K'] 1
['Q', '9', 'J', 'A', '8'] 567
['Q', 'T', '9', '3', 'T'] 254
['Q', 'A', '8', '8', '4'] 555
['K', 'J', '9', 'T', '4'] 495
['K', '2', 'A', '9', '9'] 951
['K', '3', '4', '4', 'Q'] 672
['K', '3', 'Q', '2', 'Q'] 199
['K', '4', 'J', '9', '6'] 912
['K', '4', 'J', 'Q', 'T'] 132
['K', '4', 'J', 'A', '6'] 551
['K', '5', '6', 'A', 'J'] 648
['K', '6', '2', 'J', 'A'] 897
['K', '8', '6', 'T', 'T'] 33
['K', '9', '6', '5', 'K'] 566
['K', '9', '6', 'K', '4'] 151
['K', '9', '7', '7', '4'] 64
['K', 'A', '6', '9', 'J'] 447
['K', 'A', '8', '4', '8'] 135
['A', 'J', '4', 'T', '7'] 332
['A', '2', 'T', 'T', '7'] 330
['A', '2', 'K', 'J', 'T'] 509
['A', '3', '5', 'J', '8'] 854
['A', '3', '5', '4', 'J'] 573
['A', '3', 'T', '7', '7'] 754
['A', '4', '5', '4', '2'] 673
['A', '4', '6', '9', 'A'] 203
['A', '4', '7', '5', 'A'] 415
['A', '4', 'K', '9', 'K'] 14
['A', '6', '3', '8', '8'] 894
['A', '6', '3', 'Q', '3'] 92
['A', '6', 'A', '9', '3'] 997
['A', '7', '3', '8', 'J'] 745
['A', '8', '6', 'Q', 'A'] 156
['A', 'T', 'J', '6', '3'] 452
['A', 'T', 'T', 'K', '2'] 796
['A', 'Q', 'T', '4', 'T'] 660
['A', 'A', '7', '6', '9'] 808
['A', 'A', 'T', 'Q', '6'] 72
['A', 'A', 'K', '4', 'T'] 711
['2', '2', '4', '6', '6'] 703
['2', '2', '4', '7', '4'] 285
['2', '2', '4', 'Q', '4'] 102
['2', '8', '8', '2', '5'] 838
['2', '8', '8', '5', '5'] 500
['2', '8', '8', '7', '2'] 217
['2', 'T', '3', '3', 'T'] 76
['2', 'K', '2', 'K', 'A'] 477
['2', 'K', 'Q', 'K', 'Q'] 865
['2', 'A', '3', '2', 'A'] 235
['2', 'A', '3', '3', 'A'] 54
['3', '3', '6', '8', '6'] 732
['3', '5', 'K', '3', 'K'] 565
['3', '6', '3', '2', '6'] 618
['3', '7', '5', '3', '5'] 297
['3', '8', 'K', '3', '8'] 656
['3', 'Q', '2', '2', '3'] 670
['3', 'A', '7', '3', '7'] 659
['4', '2', '4', 'K', 'K'] 932
['4', '4', '6', '6', 'T'] 243
['4', '4', '7', '8', '8'] 960
['4', '4', '8', 'K', 'K'] 939
['4', '5', '4', '3', '3'] 159
['4', '6', '5', '5', '6'] 662
['4', '7', '9', '4', '9'] 873
['4', '9', '4', 'Q', '9'] 665
['4', '9', '5', '5', '9'] 569
['4', '9', '9', '3', '4'] 539
['4', '9', 'K', '9', '4'] 417
['4', 'Q', '5', '4', 'Q'] 473
['5', '4', '3', '5', '4'] 56
['5', '4', '5', 'Q', 'Q'] 398
['5', '5', '3', '7', '7'] 775
['5', '5', '8', '7', '7'] 455
['5', '5', 'A', '2', '2'] 340
['5', 'T', '5', '8', 'T'] 724
['5', 'Q', 'A', '5', 'A'] 944
['6', '3', '6', '5', '5'] 99
['6', '4', '7', '7', '4'] 249
['6', '5', '4', '5', '4'] 202
['6', '5', 'A', '5', '6'] 751
['6', '7', '7', '6', 'T'] 402
['6', '8', 'K', 'K', '6'] 914
['6', 'T', 'T', '5', '5'] 75
['6', 'K', 'K', '6', 'A'] 940
['6', 'A', '6', '7', 'A'] 94
['7', '3', '3', '2', '2'] 386
['7', '4', '4', 'A', '7'] 219
['7', '7', '8', '2', '8'] 964
['7', '7', '8', 'T', 'T'] 346
['7', '7', 'Q', 'T', 'T'] 103
['7', 'Q', '6', 'Q', '7'] 863
['7', 'K', '7', 'Q', 'K'] 689
['7', 'A', '7', 'T', 'T'] 690
['8', '2', 'T', '2', '8'] 819
['8', '4', '4', '6', '8'] 625
['8', '5', '8', '3', '5'] 137
['8', 'T', 'A', 'T', 'A'] 507
['8', 'K', '3', 'K', '3'] 167
['9', '2', 'Q', '2', '9'] 798
['9', '3', '9', '3', 'K'] 764
['9', '4', '4', '2', '2'] 363
['9', '5', '2', '2', '9'] 518
['9', '5', '9', '2', '5'] 783
['9', '9', '5', '5', 'K'] 148
['9', '9', 'T', '8', 'T'] 336
['9', '9', 'T', 'K', 'T'] 730
['9', 'T', 'T', '9', 'Q'] 649
['9', 'Q', 'Q', '9', '6'] 815
['T', '2', '2', '3', 'T'] 538
['T', '2', '6', '2', 'T'] 377
['T', '6', '6', '3', 'T'] 491
['T', '9', 'T', '4', '9'] 411
['T', 'T', '3', '7', '7'] 214
['T', 'T', '6', '6', 'Q'] 967
['T', 'T', '6', 'K', '6'] 290
['T', 'T', '7', '8', '8'] 975
['T', 'T', 'K', '4', '4'] 111
['T', 'T', 'K', 'K', '2'] 520
['T', 'T', 'K', 'K', '7'] 834
['T', 'T', 'A', 'A', '4'] 679
['T', 'K', '6', 'K', 'T'] 15
['T', 'K', 'T', '2', '2'] 872
['Q', '3', 'Q', 'T', '3'] 545
['Q', '5', '5', 'Q', 'K'] 883
['Q', 'T', 'T', 'K', 'Q'] 439
['Q', 'Q', '5', 'T', '5'] 220
['Q', 'Q', 'A', 'A', '8'] 274
['Q', 'A', '6', 'Q', 'A'] 564
['Q', 'A', 'Q', '3', 'A'] 734
['K', '3', '3', 'A', 'K'] 337
['K', '3', '4', '3', 'K'] 514
['K', '3', 'K', '3', '9'] 723
['K', '6', 'A', 'A', '6'] 600
['K', '8', 'K', '8', '6'] 856
['K', '9', '2', 'K', '9'] 78
['K', 'T', '2', 'K', '2'] 821
['K', 'T', '3', '3', 'T'] 946
['K', 'T', '4', 'T', 'K'] 637
['K', 'Q', 'K', 'Q', '9'] 67
['K', 'K', '8', '2', '8'] 175
['A', '2', '5', '2', 'A'] 378
['A', '3', 'A', '5', '3'] 19
['A', '5', '4', '5', 'A'] 38
['A', '8', '8', '5', '5'] 620
['A', '9', '9', '7', 'A'] 904
['A', '9', 'K', 'A', 'K'] 926
['A', '9', 'A', 'Q', 'Q'] 895
['A', 'T', '9', 'T', 'A'] 968
['A', 'Q', 'Q', 'A', '4'] 609
['A', 'K', 'A', 'K', '2'] 709
['A', 'A', '5', '5', '7'] 657
['A', 'A', 'T', 'K', 'T'] 404
['A', 'A', 'K', '9', '9'] 806
['J', '2', 'T', 'T', 'Q'] 478
['J', '3', '4', '2', '4'] 715
['J', '5', 'J', '7', '2'] 773
['J', '5', 'K', '6', '6'] 39
['J', '6', '9', '2', '2'] 664
['J', '7', '8', 'J', '4'] 579
['J', '7', '9', '9', '5'] 338
['J', '7', 'K', 'Q', 'J'] 584
['J', '9', '5', '9', '4'] 267
['J', '9', '7', '3', '7'] 382
['J', 'T', '3', '3', '5'] 736
['J', 'T', '6', 'T', '2'] 549
['J', 'Q', '3', 'J', 'A'] 448
['J', 'Q', '9', '9', 'A'] 970
['J', 'K', '5', 'K', 'T'] 196
['J', 'A', '4', 'Q', 'A'] 793
['J', 'A', '8', 'A', '9'] 866
['2', '2', 'J', '3', '7'] 365
['2', '2', '3', '2', '5'] 512
['2', '2', 'T', '8', '2'] 74
['2', '2', 'Q', '2', '4'] 740
['2', '4', 'J', '6', 'J'] 24
['2', '6', '6', '6', '9'] 712
['2', '6', 'T', '2', '2'] 839
['2', '7', 'J', '7', 'A'] 682
['2', '7', '2', 'Q', '2'] 529
['2', '8', '8', '6', '8'] 457
['2', '8', '8', '8', 'Q'] 580
['2', 'Q', '2', '2', '3'] 108
['2', 'Q', 'Q', 'Q', '7'] 896
['3', 'J', '4', '3', '6'] 183
['3', 'J', '6', '3', '8'] 192
['3', 'J', 'K', '3', 'Q'] 909
['3', '3', '7', '3', '9'] 265
['3', '3', 'Q', '4', 'J'] 266
['3', '4', 'J', 'T', '3'] 485
['3', '4', 'J', 'K', '4'] 173
['3', '5', '3', 'Q', '3'] 636
['3', '5', '7', '5', '5'] 937
['3', '5', 'T', 'T', 'T'] 496
['3', '6', '6', 'J', 'A'] 788
['3', '7', 'J', '5', '5'] 860
['3', '7', 'A', '3', '3'] 113
['3', '8', 'J', '8', 'T'] 487
['3', '8', '8', '7', 'J'] 570
['3', '9', '9', '9', '8'] 638
['3', '9', 'Q', 'Q', 'Q'] 501
['3', 'T', '3', '3', '4'] 129
['3', 'Q', '2', 'Q', 'Q'] 650
['3', 'Q', 'Q', 'J', 'K'] 982
['3', 'Q', 'Q', '5', 'Q'] 621
['3', 'K', 'J', 'K', '4'] 174
['4', 'J', '5', 'A', '5'] 22
['4', 'J', 'K', 'K', '6'] 548
['4', '2', 'J', '2', 'A'] 124
['4', '3', '8', '4', '4'] 559
['4', '3', 'Q', 'Q', 'Q'] 716
['4', '4', 'J', '3', 'Q'] 925
['4', '4', '3', 'Q', '4'] 943
['4', '4', '4', '6', 'A'] 412
['4', '4', '4', '9', '3'] 399
['4', '4', '5', 'J', 'A'] 264
['4', '4', '5', '6', '4'] 891
['4', '4', '6', 'J', '9'] 222
['4', '4', '7', '4', '3'] 201
['4', '4', '7', '8', '4'] 26
['4', '4', '7', 'K', '4'] 488
['4', '5', '3', 'J', 'J'] 18
['4', '5', '4', '4', '7'] 858
['4', '6', '4', '7', '4'] 760
['4', '7', '3', '3', 'J'] 221
['4', '7', 'A', 'A', 'J'] 966
['4', '9', '4', '4', '7'] 809
['4', '9', 'A', '4', 'J'] 902
['4', 'T', 'K', 'K', 'K'] 237
['4', 'Q', 'Q', 'T', 'Q'] 459
['4', 'A', 'T', 'T', 'T'] 541
['5', 'J', 'K', '5', '2'] 125
['5', '2', '5', '5', 'Q'] 761
['5', '2', 'T', 'J', 'J'] 614
['5', '3', 'J', '9', '9'] 194
['5', '3', 'J', 'A', '3'] 120
['5', '4', 'J', '4', '3'] 154
['5', '5', '2', 'T', '5'] 32
['5', '5', '5', '7', '4'] 232
['5', '5', '8', 'J', '2'] 453
['5', '5', '8', '5', '2'] 842
['5', '5', 'Q', '5', '6'] 306
['5', '7', '6', 'J', '6'] 234
['5', '8', 'A', '8', '8'] 778
['5', 'Q', '3', '5', '5'] 790
['5', 'A', '5', '5', '7'] 353
['6', 'J', 'J', 'T', '8'] 880
['6', 'J', '3', 'K', 'J'] 586
['6', 'J', '6', 'T', '7'] 755
['6', 'J', '9', 'A', '6'] 979
['6', '2', '4', '4', '4'] 978
['6', '2', '5', '5', '5'] 342
['6', '3', '6', '6', 'Q'] 577
['6', '4', '4', 'J', 'K'] 354
['6', '4', '9', 'J', 'J'] 204
['6', '5', '6', '6', '3'] 10
['6', '6', 'T', 'Q', '6'] 890
['6', '6', 'Q', '8', '6'] 582
['6', '7', 'T', 'T', 'T'] 887
['6', 'T', 'K', 'J', 'T'] 384
['6', 'Q', 'J', 'Q', '9'] 44
['6', 'K', 'A', 'K', 'K'] 83
['6', 'A', 'K', 'A', 'A'] 585
['6', 'A', 'A', 'A', 'T'] 59
['7', 'J', 'J', 'A', '2'] 164
['7', 'J', '3', 'J', '4'] 984
['7', 'J', '7', '8', '4'] 314
['7', 'J', 'T', 'Q', 'Q'] 990
['7', '2', '3', '3', '3'] 958
['7', '3', '8', '7', '7'] 218
['7', '4', 'J', '5', '5'] 376
['7', '5', '5', '2', '5'] 31
['7', '6', '7', '7', '8'] 311
['7', '6', 'Q', '6', '6'] 601
['7', '6', 'K', 'K', 'J'] 168
['7', '7', '2', '3', '7'] 977
['7', '7', '4', '7', '9'] 93
['7', '7', '6', '3', '7'] 568
['7', '7', '6', 'T', '7'] 597
['7', '7', '7', '9', 'K'] 844
['7', '9', 'A', '7', '7'] 616
['7', 'T', 'T', 'K', 'T'] 680
['7', 'Q', '7', '3', '7'] 794
['7', 'Q', '7', '6', '7'] 73
['7', 'K', 'J', '7', '3'] 827
['7', 'K', '7', '7', '5'] 635
['8', 'J', '5', 'Q', '5'] 206
['8', 'J', '8', 'K', 'T'] 82
['8', 'J', '9', '7', '9'] 719
['8', 'J', '9', 'K', 'J'] 62
['8', 'J', 'K', '8', '3'] 983
['8', '3', '6', 'J', '6'] 823
['8', '4', 'K', 'J', '4'] 300
['8', '5', '3', '8', '8'] 450
['8', '5', '5', 'A', '5'] 802
['8', '5', 'K', '5', '5'] 622
['8', '6', '6', 'J', '2'] 969
['8', '6', '8', '3', '8'] 792
['8', '6', '8', '8', '9'] 50
['8', '8', '8', '2', '7'] 416
['8', '8', '8', '4', '6'] 921
['8', '8', 'Q', 'J', 'T'] 389
['8', '8', 'A', 'J', 'Q'] 515
['8', '9', 'J', '8', '6'] 244
['8', 'T', '9', '9', '9'] 420
['8', 'A', '2', 'A', 'A'] 987
['8', 'A', '6', 'J', '6'] 359
['9', 'J', '4', '8', '8'] 945
['9', 'J', '9', '2', '7'] 86
['9', '2', '5', '5', 'J'] 776
['9', '2', '9', '9', '5'] 606
['9', '2', 'T', '2', '2'] 280
['9', '3', 'Q', '9', 'J'] 142
['9', '3', 'K', '3', '3'] 316
['9', '4', '4', '4', 'T'] 731
['9', '4', '9', '3', '9'] 799
['9', '7', 'Q', 'Q', 'Q'] 542
['9', '8', '8', 'A', '8'] 683
['9', '9', '4', '3', 'J'] 178
['9', '9', '5', 'Q', '9'] 208
['9', '9', '7', 'J', 'Q'] 458
['9', '9', '8', '9', '5'] 391
['9', '9', '9', '8', '7'] 929
['9', '9', 'T', 'J', '4'] 37
['9', 'T', '9', '4', '9'] 592
['9', 'T', 'T', '3', 'T'] 629
['9', 'K', 'J', 'K', '4'] 720
['9', 'A', '8', '9', '9'] 971
['T', 'J', '2', '2', '9'] 942
['T', 'J', 'T', '7', '9'] 110
['T', '3', '6', '6', '6'] 961
['T', '3', 'T', 'T', 'Q'] 563
['T', '5', '5', 'K', '5'] 989
['T', '5', 'T', '6', 'T'] 632
['T', '6', '2', 'J', '2'] 256
['T', '6', 'T', 'J', 'A'] 810
['T', '6', 'Q', 'J', 'Q'] 427
['T', '6', 'A', '6', 'J'] 465
['T', '7', '2', '7', 'J'] 428
['T', '7', '6', 'J', 'J'] 247
['T', '7', '7', '9', '7'] 749
['T', '7', 'T', 'T', '9'] 654
['T', '8', 'T', 'T', '6'] 691
['T', 'T', '2', 'T', '5'] 791
['T', 'T', '4', '7', 'T'] 671
['T', 'T', '6', '8', 'J'] 123
['T', 'T', '7', 'T', '3'] 655
['T', 'T', '7', 'T', '8'] 70
['T', 'T', '8', 'T', 'Q'] 270
['T', 'T', 'Q', '9', 'J'] 281
['T', 'T', 'A', '8', 'T'] 686
['T', 'A', 'J', '5', '5'] 556
['T', 'A', 'J', 'T', '7'] 381
['T', 'A', 'T', '7', 'T'] 252
['Q', 'J', '3', 'Q', '2'] 155
['Q', 'J', '4', 'J', 'K'] 41
['Q', 'J', '4', 'T', 'Q'] 744
['Q', 'J', 'Q', 'K', '5'] 728
['Q', 'J', 'A', 'Q', '5'] 693
['Q', '2', 'K', 'J', 'Q'] 463
['Q', '4', '4', '7', 'J'] 112
['Q', '4', '5', '5', '5'] 608
['Q', '5', '6', '6', 'J'] 918
['Q', '5', 'Q', '8', 'Q'] 651
['Q', '6', '6', 'J', '2'] 554
['Q', '8', 'A', 'J', 'Q'] 630
['Q', 'T', 'J', 'Q', '3'] 372
['Q', 'Q', 'Q', '7', '6'] 410
['Q', 'Q', 'Q', 'K', '2'] 482
['Q', 'Q', 'A', '8', 'Q'] 748
['Q', 'Q', 'A', 'K', 'Q'] 994
['Q', 'A', '2', 'Q', 'Q'] 20
['Q', 'A', '8', '8', '8'] 383
['Q', 'A', 'A', '4', 'A'] 494
['K', '2', '5', '5', '5'] 385
['K', '2', '7', '2', '2'] 661
['K', '2', 'K', 'K', '6'] 163
['K', '4', '9', '9', '9'] 658
['K', '5', '3', '5', '5'] 207
['K', '5', 'K', '9', 'K'] 239
['K', '6', 'K', 'J', '9'] 820
['K', '7', '5', '5', '5'] 119
['K', '7', 'K', 'K', 'Q'] 263
['K', 'T', 'T', 'T', 'A'] 358
['K', 'Q', '3', 'J', 'K'] 308
['K', 'Q', '9', 'Q', 'Q'] 981
['K', 'K', 'J', '2', '8'] 769
